address,zip,name,days_open,months_open
2501 E. Cumberland Ave,19125,Greensgrow Farm Stand,Thurs & Sat,May - September
Diamond St and N. Howard St,19122,Norris Square Neighborhood Project,Thurs,May - October
18th and Walnut St,19103,Rittenhouse,Tues & Sat,Tues- June 4th - November 26th; Sat- Year round: 9am - 3pm (May - end of November); 10am - 2pm (December - end of April)
22nd St. and Fairmount Ave.,19130,Fairmount,Thurs,June 6th- November 27th
1628-32 Ridge Ave,19130,Francisville Artisan and Farmers Market,Sat,TBD
10th and Chestnut St,19107,Jefferson,Thurs,mid-April - November 21st
23rd and Pine St,19103,Fitler Square Park,Sat,Open year round
2nd and Lombard St,19147,Headhouse,Sun,Open year round
"On Church St, between 2nd and 3rd Sts.",19106,Christ Church,Wed,May 15 - October
215 E. Penn St.,19144,Germantown Kitchen Garden,Sat,May  - October
Germantown Ave and E. Schoolhouse Lane,19144,Germantown & Schoolhouse,Thurs,June 13th - October 31st
4100 Ridge Ave,19129,East Falls,Sat,May - November  
Winston Rd and Germantown Ave.,19118,Chestnut Hill Farmers’ Market,Sat,Open year round: 9am - 1pm (May - end of November); 10am - 12pm (Dec-April)
913 N. 3rd Street,19123,Liberty Lands Park,Sat,May 18th - October 26th
Cecil B. Moore Ave between Broad & 13th St,19122,Cecil B. Moore,Thurs,June 6th – November 21st
W. Hunting Park Ave. and Old York Rd,19140,Hunting Park,Sat,May 25th - November 23rd
N. Park Ave. and W. Tabor Rd,19141,Park and Tabor,Tues,May 21st - November 26th
4th St & Lehigh Ave.,19133,4th and Lehigh,Tues,June 18th - Sept 10th
33rd & Dauphin St,19121,33rd & Dauphin,Wed,June 5th -November 13th
2901 W. Hunting Park Ave.,19129,SHARE Nice Roots Farm,Tues & Thurs,May - November
North Front Street and Cecil B Moore Avenue,19122,North Front Street,Sun,June 2nd- October 27th
26th St and Allegheny Ave.,19129,26th and Allegheny,Wed,June 19th - September 11th
Frankford and Bustleton Ave.,19124,Frankford Transportation Center ,Tues,June 11th - October 29th 
Castor Ave & Hellerman St.,19149,Caster & Hellerman (Oxford Circle),Wed,June 5th - November 6th
Red Lion Rd & Jamison Ave,19116,Kleinlife,Tues,May -Nov 
7095 Henry Ave,19128,Henry Got Crops,"Tues, Fri",May - November 
Carpenter Lane and Greene St.,19119,Mt. Airy,Thurs,June 20th - Aug 22nd
5267 Germantown Ave.,19144,Grumblethorpe House,Sat,June - Aug
Ogontz Ave and Walnut Lane,19138,West Oak Lane,Tues,July 9th - October 29th 
121 N. Christopher Columbus Blvd,19106,The Food Trust's Market at Cherry Street Pier,Saturdays ,July 13th - Novemeber 16th
Ridge Ave and Acorn St.,19128,Gorgas Park,Fri,May 24th - November 22nd
4300 Silverwood St.,19127,Pretzel Park,Sat,May – October 
6th & Ritner St,19148,Novick Family Urban Farm Stand,Wed,May - Sept
22nd and Tasker St,19145,22nd & Tasker,Wed,July 10th-  Oct 30th
Broad and Morris Street,19145,Broad and Morris,Tues,June 11th - September 17th
11th and Tasker St,19147,Fountain,Wed,May 15 - November 27th
East Moyamensing Ave and Morris St,19148,Dickinson Square,Sun,May 19- November 24
54th & Lindbergh Blvd,19143,Sankofa Community Farm at Bartram’s Garden,Thurs,June-November
58th St and Chester Ave.,19143,58th & Chester,Wed,July 10th -October 30th
52nd St and Haverford Ave.,19139,52nd & Haverford,Wed,June 5th – October 30th
43rd St. and Baltimore Ave.,19104,Clark Park,Thurs & Sat,"Thurs open June 6th – November 27th, Sat open year round"
5123 Baltimore Ave.,19143,Greensgrow West,Sun,Mid-June- September
Lancaster & City Avenue,19151,Overbrook,Sat,May 25th – November 23rd
4300 Monument Rd.,19131,Heritage Farm ,Thurs,May - September
36th and Walnut St,19104,University Square,Wed,January - middle of November 
5120 Chestnut St,19139,W. Philly YMCA Market,1st & 3rd Fri,June - September
608 N. 53rd St,19131,Neighborhood Foods Farm,Wed & Sat,"Wednesdays: June - August, Saturdays: May – October "
4610 Market St.,19139,Walnut Hill,Thurs,June- November
5700 Haverford Ave,19131,Shepard Rec Market,Last Tues of the month,June - October
4901 Brown St,19139,Mill Creek Farm,Wed & Sat,June - Thanksgiving
